Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Variant SKU,Variant Inventory Qty,Image Src
product-1,Koszulka Zielony 1,<p>Wysokiej jakości koszulka w kolorze zielony. Idealny do codziennego użytku.</p>,HomeVibe,Homeware,"premium, promo",true,115.26,SKU-0001,36,
product-2,Kubek Szary 2,<p>Wysokiej jakości kubek w kolorze szary. Idealny do codziennego użytku.</p>,EcoWear,Accessories,"promo, nowość, bestseller",true,88.88,SKU-0002,7,
product-3,Kubek Niebieski 3,<p>Wysokiej jakości kubek w kolorze niebieski. Idealny do codziennego użytku.</p>,EcoWear,Watches,"nowość, premium",true,157.72,SKU-0003,48,
product-4,Lampa Szary 4,<p>Wysokiej jakości lampa w kolorze szary. Idealny do codziennego użytku.</p>,EcoWear,Accessories,"premium, promo, nowość",true,141.9,SKU-0004,26,
product-5,Kurtka Szary 5,<p>Wysokiej jakości kurtka w kolorze szary. Idealny do codziennego użytku.</p>,TechLite,Watches,"premium, bestseller",true,65.94,SKU-0005,42,
product-6,Torba Biały 6,<p>Wysokiej jakości torba w kolorze biały. Idealny do codziennego użytku.</p>,TechLite,Watches,"premium, promo",true,138.94,SKU-0006,5,
product-7,Kurtka Czerwony 7,<p>Wysokiej jakości kurtka w kolorze czerwony. Idealny do codziennego użytku.</p>,TechLite,Watches,"bestseller, eko",true,77.7,SKU-0007,18,
product-8,Kubek Żółty 8,<p>Wysokiej jakości kubek w kolorze żółty. Idealny do codziennego użytku.</p>,EcoWear,Footwear,"nowość, eko, premium",true,96.38,SKU-0008,15,
product-9,Buty Niebieski 9,<p>Wysokiej jakości buty w kolorze niebieski. Idealny do codziennego użytku.</p>,TrendyShop,Footwear,"eko, bestseller",true,106.93,SKU-0009,49,
product-10,Kurtka Zielony 10,<p>Wysokiej jakości kurtka w kolorze zielony. Idealny do codziennego użytku.</p>,TechLite,Outerwear,"eko, nowość",true,91.8,SKU-0010,38,
product-11,Koszulka Szary 11,<p>Wysokiej jakości koszulka w kolorze szary. Idealny do codziennego użytku.</p>,TechLite,Outerwear,"premium, promo",true,42.26,SKU-0011,28,
product-12,Kubek Szary 12,<p>Wysokiej jakości kubek w kolorze szary. Idealny do codziennego użytku.</p>,TechLite,Lighting,"premium, nowość, bestseller",true,90.29,SKU-0012,14,
product-13,Koszulka Niebieski 13,<p>Wysokiej jakości koszulka w kolorze niebieski. Idealny do codziennego użytku.</p>,FashionPeak,Clothing,"premium, eko, promo",true,89.24,SKU-0013,21,
product-14,Kurtka Czarny 14,<p>Wysokiej jakości kurtka w kolorze czarny. Idealny do codziennego użytku.</p>,TrendyShop,Watches,"promo, eko",true,14.97,SKU-0014,23,
product-15,Lampa Czarny 15,<p>Wysokiej jakości lampa w kolorze czarny. Idealny do codziennego użytku.</p>,SportMax,Lighting,"bestseller, premium, nowość",true,174.88,SKU-0015,31,
